"포인트 wkt","시설물 id","시군구 코드","시군구명","읍면동 코드","읍면동명","시설코드","안심귀갓길 아이디","안심귀갓길 명","설치대수","비고","관리기관","전화번호","조성년월","시설물 최종점검일(사용안함)","세부위치설명","데이터 기준일자","이미지명"
"POINT (126.967655776206 37.5799431037931)","1111011000_04_P16","1111000000","서울특별시 종로구","1111011000","누하동","304","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P16_304.jpeg"
"POINT (126.967675893145 37.5799705715962)","1111011000_04_P17","1111000000","서울특별시 종로구","1111011000","누하동","307","1111011000_04","종로안심04","1","","서울종로경찰서","","2015","","","20221109","1111011000_04_P17_307.jpeg"
"POINT (126.967675893145 37.5799705715962)","1111011000_04_P18","1111000000","서울특별시 종로구","1111011000","누하동","305","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P18_305.jpeg"
"POINT (126.967391222132 37.5799521851074)","1111011000_04_P19","1111000000","서울특별시 종로구","1111011000","누하동","305","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P19_305.jpeg"
"POINT (126.967126656927 37.5799864395939)","1111011000_04_P20","1111000000","서울특별시 종로구","1111011000","누하동","305","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P20_305.jpeg"
"POINT (126.966945462117 37.580066487349)","1111011000_04_P21","1111000000","서울특별시 종로구","1111011000","누하동","305","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P21_305.jpeg"
"POINT (126.966945462117 37.580066487349)","1111011000_04_P22","1111000000","서울특별시 종로구","1111011000","누하동","301","1111011000_04","종로안심04","1","","종로CCTV통합안전센터","02-2148-4301","2015","","","20221109","1111011000_04_P22_301.jpeg"
"POINT (126.966945462117 37.580066487349)","1111011000_04_P23","1111000000","서울특별시 종로구","1111011000","누하동","302","1111011000_04","종로안심04","2","방범용 CCTV","종로 CCTV 통합안전센터","02-2148-4301","2015","","","20221109","1111011000_04_P23_302.jpeg"
"POINT (126.96656587838 37.5800915542175)","1111011000_04_P24","1111000000","서울특별시 종로구","1111011000","누하동","304","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P24_304.jpeg"
"POINT (126.966525606336 37.5801235821451)","1111011000_04_P25","1111000000","서울특별시 종로구","1111011000","누하동","307","1111011000_04","종로안심04","1","","서울종로경찰서","","2015","","","20221109","1111011000_04_P25_307.jpeg"
"POINT (126.966525606336 37.5801235821451)","1111011000_04_P26","1111000000","서울특별시 종로구","1111011000","누하동","305","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P26_305.jpeg"
"POINT (126.966053990991 37.5801783720502)","1111011000_04_P27","1111000000","서울특별시 종로구","1111011000","누하동","302","1111011000_04","종로안심04","2","방범용 CCTV","종로구청 자치행정과","02-2148-1446","2015","","","20221109","1111011000_04_P27_302.jpeg"
"POINT (126.966053990991 37.5801783720502)","1111011000_04_P28","1111000000","서울특별시 종로구","1111011000","누하동","305","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P28_305.jpeg"
"POINT (126.965918821206 37.5802195265398)","1111011000_04_P29","1111000000","서울특별시 종로구","1111011000","누하동","305","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P29_305.jpeg"
"POINT (126.965697340478 37.5803567738437)","1111011000_04_P30","1111000000","서울특별시 종로구","1111011000","누하동","301","1111011000_04","종로안심04","1","","종로CCTV통합안전센터","02-2148-4301","2015","","","20221109","1111011000_04_P30_301.jpeg"
"POINT (126.965697340478 37.5803567738437)","1111011000_04_P31","1111000000","서울특별시 종로구","1111011000","누하동","302","1111011000_04","종로안심04","2","방범용 CCTV","종로 CCTV 통합안전센터","02-2148-4301","2015","","","20221109","1111011000_04_P31_302.jpeg"
"POINT (126.965697340478 37.5803567738437)","1111011000_04_P32","1111000000","서울특별시 종로구","1111011000","누하동","305","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P32_305.jpeg"
"POINT (126.968029792683 37.5794855007802)","1111011000_04_P33","1111000000","서울특별시 종로구","1111011000","누하동","304","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P33_304.jpeg"
"POINT (126.97173119447 37.5779027859495)","1111011200_03_P01","1111000000","서울특별시 종로구","1111011200","체부동","304","1111011200_03","종로안심03","1","","","","2015","","","20221109","1111011200_03_P01_304.jpeg"
"POINT (126.971621934579 37.5778821630076)","1111011200_03_P02","1111000000","서울특별시 종로구","1111011200","체부동","307","1111011200_03","종로안심03","1","","서울종로경찰서","","2015","","","20221109","1111011200_03_P02_307.jpeg"
"POINT (126.971621934579 37.5778821630076)","1111011200_03_P03","1111000000","서울특별시 종로구","1111011200","체부동","302","1111011200_03","종로안심03","2","","종로 CCTV 통합안전센터","02-2148-4301","2015","","","20221109","1111011200_03_P03_302.jpeg"
"POINT (126.971621934579 37.5778821630076)","1111011200_03_P04","1111000000","서울특별시 종로구","1111011200","체부동","305","1111011200_03","종로안심03","1","","","","2015","","","20221109","1111011200_03_P04_305.jpeg"
"POINT (126.971647837195 37.5778203790501)","1111011200_03_P05","1111000000","서울특별시 종로구","1111011200","체부동","302","1111011200_03","종로안심03","1","","종로구청 자치행정과","02-2148-1446","2015","","","20221109","1111011200_03_P05_302.jpeg"
"POINT (126.971386223496 37.5776807158852)","1111011200_03_P06","1111000000","서울특별시 종로구","1111011200","체부동","305","1111011200_03","종로안심03","1","","","","2015","","","20221109","1111011200_03_P06_305.jpeg"
"POINT (126.971386223496 37.5776807158852)","1111011200_03_P07","1111000000","서울특별시 종로구","1111011200","체부동","302","1111011200_03","종로안심03","3","","종로 CCTV 통합안전센터","02-2148-4301","2015","","","20221109","1111011200_03_P07_302.jpeg"
"POINT (126.971012389186 37.5777447033878)","1111011200_03_P08","1111000000","서울특별시 종로구","1111011200","체부동","305","1111011200_03","종로안심03","1","","","","2015","","","20221109","1111011200_03_P08_305.jpeg"
"POINT (126.970566706412 37.5777102652356)","1111011200_03_P09","1111000000","서울특별시 종로구","1111011200","체부동","307","1111011200_03","종로안심03","1","","서울종로경찰서","","2015","","","20221109","1111011200_03_P09_307.jpeg"
"POINT (126.970566706412 37.5777102652356)","1111011200_03_P10","1111000000","서울특별시 종로구","1111011200","체부동","305","1111011200_03","종로안심03","1","","","","2015","","","20221109","1111011200_03_P10_305.jpeg"
"POINT (126.970604074789 37.577742313892)","1111011200_03_P11","1111000000","서울특별시 종로구","1111011200","체부동","304","1111011200_03","종로안심03","1","","","","2015","","","20221109","1111011200_03_P11_304.jpeg"
"POINT (126.970313639709 37.5777765690908)","1111011200_03_P12","1111000000","서울특별시 종로구","1111011200","체부동","305","1111011200_03","종로안심03","1","","","","2015","","","20221109","1111011200_03_P12_305.jpeg"
"POINT (126.970020336252 37.5777925146444)","1111011200_03_P13","1111000000","서울특별시 종로구","1111011200","체부동","307","1111011200_03","종로안심03","1","","서울종로경찰서","","2015","","","20221109","1111011200_03_P13_307.jpeg"
"POINT (126.970020336252 37.5777925146444)","1111011200_03_P14","1111000000","서울특별시 종로구","1111011200","체부동","305","1111011200_03","종로안심03","1","","","","2015","","","20221109","1111011200_03_P14_305.jpeg"
"POINT (126.970020336252 37.5777925146444)","1111011200_03_P15","1111000000","서울특별시 종로구","1111011200","체부동","302","1111011200_03","종로안심03","2","방범용 CCTV","종로 CCTV 통합안전센터","02-2148-4301","2015","","","20221109","1111011200_03_P15_302.jpeg"
"POINT (126.970020336252 37.5777925146444)","1111011200_03_P16","1111000000","서울특별시 종로구","1111011200","체부동","301","1111011200_03","종로안심03","1","","종로CCTV통합안전센터","02-2148-4301","2015","","","20221109","1111011200_03_P16_301.jpeg"
"POINT (126.96996283713 37.57776732625)","1111011200_03_P17","1111000000","서울특별시 종로구","1111011200","체부동","304","1111011200_03","종로안심03","1","","","","2015","","","20221109","1111011200_03_P17_304.jpeg"
"POINT (126.969364718791 37.5778220971509)","1111011200_03_P18","1111000000","서울특별시 종로구","1111011200","체부동","305","1111011200_03","종로안심03","1","","","","2015","","","20221109","1111011200_03_P18_305.jpeg"
"POINT (126.987917005907 37.5794642421179)","1111014900_01_P01","1111000000","서울특별시 종로구","1111014900","원서동","304","1111014900_01","종로안심01","1","","","","","","돌담집 앞","20221110","1111014900_01_P01_304.jpeg"
"POINT (126.987931388711 37.5794322042437)","1111014900_01_P02","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","돌담집 앞","20221110","1111014900_01_P02_305.jpeg"
"POINT (126.987968761699 37.5794871326509)","1111014900_01_P03","1111000000","서울특별시 종로구","1111014900","원서동","307","1111014900_01","종로안심01","1","","삼청파출소","02-3701-4303","","","돌담집 앞","20221110","1111014900_01_P03_307.jpeg"
"POINT (126.98802050579 37.5795832559485)","1111014900_01_P04","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","후스테이블 앞","20221110","1111014900_01_P04_305.jpeg"
"POINT (126.988092363083 37.579777787809)","1111014900_01_P05","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","아이디어플랩 앞","20221110","1111014900_01_P05_305.jpeg"
"POINT (126.988161361511 37.5798693357303)","1111014900_01_P06","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","밸리주택 앞","20221110","1111014900_01_P06_305.jpeg"
"POINT (126.988236087074 37.5801142153191)","1111014900_01_P07","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","원서동 135-3 앞","20221110","1111014900_01_P07_305.jpeg"
"POINT (126.988204432542 37.5802629662459)","1111014900_01_P08","1111000000","서울특별시 종로구","1111014900","원서동","304","1111014900_01","종로안심01","1","","","","","","대동세무고 앞","20221110","1111014900_01_P08_304.jpeg"
"POINT (126.98821880023 37.5803270463626)","1111014900_01_P09","1111000000","서울특별시 종로구","1111014900","원서동","302","1111014900_01","종로안심01","1","방범용 CCTV","종로구청 자치행정과","02-2148-1446","","","대동세무고 앞","20221110","1111014900_01_P09_302.jpeg"
"POINT (126.98821880023 37.5803270463626)","1111014900_01_P10","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","대동세무고 앞","20221110","1111014900_01_P10_305.jpeg"
"POINT (126.988514984269 37.5803179214534)","1111014900_01_P11","1111000000","서울특별시 종로구","1111014900","원서동","302","1111014900_01","종로안심01","1","방범용 CCTV","종로CCTV통합안전센터","02-2148-4301","","","궁전빌라트 앞","20221110","1111014900_01_P11_302.jpeg"
"POINT (126.988514984269 37.5803179214534)","1111014900_01_P12","1111000000","서울특별시 종로구","1111014900","원서동","301","1111014900_01","종로안심01","1","","종로CCTV통합안전센터","02-2148-4301","","","궁전빌라트 앞","20221110","1111014900_01_P12_301.jpeg"
"POINT (126.988514984269 37.5803179214534)","1111014900_01_P13","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","궁전빌라트 앞","20221110","1111014900_01_P13_305.jpeg"
"POINT (126.988514984269 37.5803179214534)","1111014900_01_P14","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","2","","","","","","궁전빌라트 앞","20221110","1111014900_01_P14_305.jpeg"
"POINT (126.988546581064 37.5805421999048)","1111014900_01_P15","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","미래아트빌 앞","20221110","1111014900_01_P15_305.jpeg"
"POINT (126.98856954782 37.5807893627455)","1111014900_01_P16","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","동산빌라 앞","20221110","1111014900_01_P16_305.jpeg"
"POINT (126.98856954782 37.5807893627455)","1111014900_01_P17","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","동산빌라 앞","20221110","1111014900_01_P17_305.jpeg"
"POINT (126.988572373028 37.581118910489)","1111014900_01_P18","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","인정빌라 앞","20221110","1111014900_01_P18_305.jpeg"
"POINT (126.988831140915 37.5813546532268)","1111014900_01_P19","1111000000","서울특별시 종로구","1111014900","원서동","302","1111014900_01","종로안심01","1","방범용 CCTV","종로CCTV통합안전센터","02-2148-4301","","","원서동 135-20앞","20221110","1111014900_01_P19_302.jpeg"
"POINT (126.988788006929 37.5813546491378)","1111014900_01_P21","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","2","","","","","","원서동 135-20앞","20221110","1111014900_01_P21_305.jpeg"
"POINT (126.988788006929 37.5813546491378)","1111014900_01_P22","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","원서동 135-20앞","20221110","1111014900_01_P22_305.jpeg"
"POINT (126.988831140915 37.5813546532268)","1111014900_01_P23","1111000000","서울특별시 종로구","1111014900","원서동","307","1111014900_01","종로안심01","1","","삼청파출소","02-3701-4303","","","원서동 135-20앞","20221110","1111014900_01_P23_307.jpeg"
"POINT (126.988770728931 37.581517132693)","1111014900_01_P24","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","경미빌라 앞","20221110","1111014900_01_P24_305.jpeg"
"POINT (126.98876784026 37.5816040963249)","1111014900_01_P25","1111000000","서울특별시 종로구","1111014900","원서동","304","1111014900_01","종로안심01","1","","","","","","원서동 77-7 앞","20221110","1111014900_01_P25_304.jpeg"
"POINT (126.988741937383 37.5817528479054)","1111014900_01_P26","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","청솔빌라 앞","20221110","1111014900_01_P26_305.jpeg"
"POINT (126.988638373532 37.582027460831)","1111014900_01_P27","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","상원빌라 앞","20221110","1111014900_01_P27_305.jpeg"
"POINT (126.988557837471 37.5821487448057)","1111014900_01_P28","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","현대빌라 앞","20221110","1111014900_01_P28_305.jpeg"
"POINT (126.988557837471 37.5821487448057)","1111014900_01_P29","1111000000","서울특별시 종로구","1111014900","원서동","307","1111014900_01","종로안심01","1","","삼청파출소","02-3701-4303","","","현대빌라 앞","20221110","1111014900_01_P29_307.jpeg"
"POINT (126.988506072268 37.5821739135366)","1111014900_01_P30","1111000000","서울특별시 종로구","1111014900","원서동","304","1111014900_01","종로안심01","1","","","","","","현대빌라 앞","20221110","1111014900_01_P30_304.jpeg"
"POINT (126.988483024918 37.5824485341185)","1111014900_01_P31","1111000000","서울특별시 종로구","1111014900","원서동","302","1111014900_01","종로안심01","1","방범용 CCTV","종로CCTV통합안전센터","02-2148-4301","","","우리빌라 앞","20221110","1111014900_01_P31_302.jpeg"
"POINT (126.988483024918 37.5824485341185)","1111014900_01_P32","1111000000","서울특별시 종로구","1111014900","원서동","301","1111014900_01","종로안심01","1","","종로CCTV통합안전센터","02-2148-4301","","","우리빌라 앞","20221110","1111014900_01_P32_301.jpeg"
"POINT (126.988520408956 37.582443960713)","1111014900_01_P33","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","우리빌라 앞","20221110","1111014900_01_P33_305.jpeg"
"POINT (126.988307612957 37.5824347857329)","1111014900_01_P34","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","삼정빌라 앞","20221110","1111014900_01_P34_305.jpeg"
"POINT (126.988244381609 37.5822265238087)","1111014900_01_P35","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","삼정빌라 앞","20221110","1111014900_01_P35_305.jpeg"
"POINT(127.0007340 37.5874481)","1111016900_01_P07","1111000000","서울특별시 종로구","1111016900","혜화동","305","1111016900_01","혜화안심01","1","","","","","","위시프렌즈","20221117","1111016900_01_P07_305.jpeg"
"POINT (126.988183944496 37.5825354684526)","1111014900_01_P36","1111000000","서울특별시 종로구","1111014900","원서동","302","1111014900_01","종로안심01","1","방범용 CCTV","종로CCTV통합안전센터","02-2148-4301","","","창덕빌라 앞","20221110","1111014900_01_P36_302.jpeg"
"POINT (126.988183944496 37.5825354684526)","1111014900_01_P37","1111000000","서울특별시 종로구","1111014900","원서동","301","1111014900_01","종로안심01","1","","종로CCTV통합안전센터","02-2148-4301","","","창덕빌라 앞","20221110","1111014900_01_P37_301.jpeg"
"POINT (126.988137929827 37.5825629261194)","1111014900_01_P38","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","창덕빌라 앞","20221110","1111014900_01_P38_305.jpeg"
"POINT (126.988152296812 37.5826338717894)","1111014900_01_P39","1111000000","서울특별시 종로구","1111014900","원서동","304","1111014900_01","종로안심01","1","","","","","","부림빌라 앞","20221110","1111014900_01_P39_304.jpeg"
"POINT (126.988140747752 37.5829268016231)","1111014900_01_P40","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","성화하우스 앞","20221110","1111014900_01_P40_305.jpeg"
"POINT (126.988140747752 37.5829268016231)","1111014900_01_P41","1111000000","서울특별시 종로구","1111014900","원서동","307","1111014900_01","종로안심01","1","","삼청파출소","02-3701-4303","","","성화하우스 앞","20221110","1111014900_01_P41_307.jpeg"
"POINT (126.988146468592 37.5831190381542)","1111014900_01_P42","1111000000","서울특별시 종로구","1111014900","원서동","305","1111014900_01","종로안심01","1","","","","","","원서동 8-4 앞","20221110","1111014900_01_P42_305.jpeg"
"POINT(127.0049214 37.5831446)","1111016800_04_P01","1111000000","서울특별시 종로구","1111016800","동숭동","304","1111016800_04","혜화안심04","1","","","","","","백동놀이터","20221117","1111016800_04_P01_304.jpeg"
"POINT(127.0049534 37.5831330)","1111016800_04_P02","1111000000","서울특별시 종로구","1111016800","동숭동","307","1111016800_04","혜화안심04","1","","대학로파출소","02-763-1230","","","백동놀이터","20221117","1111016800_04_P02_307.jpeg"
"POINT(127.0049534 37.5831330)","1111016800_04_P03","1111000000","서울특별시 종로구","1111016800","동숭동","305","1111016800_04","혜화안심04","1","","","","","","백동놀이터","20221117","1111016800_04_P03_305.jpeg"
"POINT(127.0048719 37.5830125)","1111016800_04_P04","1111000000","서울특별시 종로구","1111016800","동숭동","301","1111016800_04","혜화안심04","1","","종로CCTV통합안전센터","02-2148-4301","","","백동놀이터","20221117","1111016800_04_P04_301.jpeg"
"POINT(127.0048719 37.5830125)","1111016800_04_P05","1111000000","서울특별시 종로구","1111016800","동숭동","302","1111016800_04","혜화안심04","1","방범용 CCTV","종로CCTV통합안전센터","02-2148-4301","","","백동놀이터","20221117","1111016800_04_P05_302.jpeg"
"POINT(127.0053583 37.5831122)","1111016800_04_P06","1111000000","서울특별시 종로구","1111016800","동숭동","305","1111016800_04","혜화안심04","1","","","","","","장안빌라","20221117","1111016800_04_P06_305.jpeg"
"POINT(127.0055680 37.5831330)","1111016800_04_P07","1111000000","서울특별시 종로구","1111016800","동숭동","307","1111016800_04","혜화안심04","1","","대학로파출소","02-763-1230","","","장안빌라","20221117","1111016800_04_P07_307.jpeg"
"POINT(127.0055680 37.5831330)","1111016800_04_P08","1111000000","서울특별시 종로구","1111016800","동숭동","305","1111016800_04","혜화안심04","1","","","","","","장안빌라","20221117","1111016800_04_P08_305.jpeg"
"POINT(127.0056758 37.5831376)","1111016800_04_P09","1111000000","서울특별시 종로구","1111016800","동숭동","305","1111016800_04","혜화안심04","1","","","","","","장안빌라","20221117","1111016800_04_P09_305.jpeg"
"POINT(127.0058884 37.5832489)","1111016800_04_P10","1111000000","서울특별시 종로구","1111016800","동숭동","305","1111016800_04","혜화안심04","1","","","","","","영빌라","20221117","1111016800_04_P10_305.jpeg"
"POINT(127.0058826 37.5832466)","1111016800_04_P11","1111000000","서울특별시 종로구","1111016800","동숭동","301","1111016800_04","혜화안심04","1","","종로CCTV통합안전센터","02-2148-4301","","","영빌라","20221117","1111016800_04_P11_301.jpeg"
"POINT(127.0058826 37.5832466)","1111016800_04_P12","1111000000","서울특별시 종로구","1111016800","동숭동","307","1111016800_04","혜화안심04","1","","대학로파출소","02-763-1230","","","영빌라","20221117","1111016800_04_P12_307.jpeg"
"POINT(127.0058826 37.5832466)","1111016800_04_P13","1111000000","서울특별시 종로구","1111016800","동숭동","302","1111016800_04","혜화안심04","1","방범용 CCTV","종로CCTV통합안전센터","02-2148-4301","","","영빌라","20221117","1111016800_04_P13_302.jpeg"
"POINT(127.0058418 37.5832443)","1111016800_04_P14","1111000000","서울특별시 종로구","1111016800","동숭동","305","1111016800_04","혜화안심04","1","","","","","","영빌라","20221117","1111016800_04_P14_305.jpeg"
"POINT(127.0061127 37.5831909)","1111016800_04_P15","1111000000","서울특별시 종로구","1111016800","동숭동","304","1111016800_04","혜화안심04","1","노드 바깥 시설물","","","","","삼익유니골드1","20221117","1111016800_04_P15_304.jpeg"
"POINT(127.0061535 37.5831886)","1111016800_04_P16","1111000000","서울특별시 종로구","1111016800","동숭동","305","1111016800_04","혜화안심04","1","노드 바깥 시설물","","","","","삼익유니골드1","20221117","1111016800_04_P16_305.jpeg"
"POINT(127.0000294 37.5872358)","1111016900_01_P01","1111000000","서울특별시 종로구","1111016900","혜화동","305","1111016900_01","혜화안심01","1","","","","","","혜화떡방앗간","20221117","1111016900_01_P01_305.jpeg"
"POINT(127.0000294 37.5872358)","1111016900_01_P02","1111000000","서울특별시 종로구","1111016900","혜화동","307","1111016900_01","혜화안심01","1","","혜화파출소","02-762-0811","","","혜화떡방앗간","20221117","1111016900_01_P02_307.jpeg"
"POINT(127.0000466 37.5872290)","1111016900_01_P03","1111000000","서울특별시 종로구","1111016900","혜화동","304","1111016900_01","혜화안심01","1","","","","","","혜화떡방앗간","20221117","1111016900_01_P03_304.jpeg"
"POINT(127.0002262 37.5873008)","1111016900_01_P04","1111000000","서울특별시 종로구","1111016900","혜화동","305","1111016900_01","혜화안심01","1","","","","","","혜화떡방앗간","20221117","1111016900_01_P04_305.jpeg"
"POINT(127.0002497 37.5872758)","1111016900_01_P05","1111000000","서울특별시 종로구","1111016900","혜화동","305","1111016900_01","혜화안심01","1","","","","","","에비뉴원","20221117","1111016900_01_P05_305.jpeg"
"POINT(127.0004419 37.5873382)","1111016900_01_P06","1111000000","서울특별시 종로구","1111016900","혜화동","305","1111016900_01","혜화안심01","1","","","","","","에비뉴원","20221117","1111016900_01_P06_305.jpeg"
"POINT(127.0007340 37.5874481)","1111016900_01_P08","1111000000","서울특별시 종로구","1111016900","혜화동","302","1111016900_01","혜화안심01","1","방범용 CCTV","종로CCTV통합안전센터","02-2148-4301","","","위시프렌즈","20221117","1111016900_01_P08_302.jpeg"
"POINT(127.0007340 37.5874481)","1111016900_01_P09","1111000000","서울특별시 종로구","1111016900","혜화동","301","1111016900_01","혜화안심01","1","","종로CCTV통합안전센터","02-2148-4301","","","위시프렌즈","20221117","1111016900_01_P09_301.jpeg"
"POINT(127.0007737 37.5874192)","1111016900_01_P10","1111000000","서울특별시 종로구","1111016900","혜화동","307","1111016900_01","혜화안심01","1","","혜화파출소","02-762-0811","","","위시프렌즈","20221117","1111016900_01_P10_307.jpeg"
"POINT(127.0007737 37.5874192)","1111016900_01_P11","1111000000","서울특별시 종로구","1111016900","혜화동","305","1111016900_01","혜화안심01","2","","","","","","위시프렌즈","20221117","1111016900_01_P11_305.jpeg"
"POINT(127.0007883 37.5874632)","1111016900_01_P12","1111000000","서울특별시 종로구","1111016900","혜화동","304","1111016900_01","혜화안심01","1","","","","","","위시프렌즈","20221117","1111016900_01_P12_304.jpeg"
"POINT(127.0011291 37.5877274)","1111016900_01_P13","1111000000","서울특별시 종로구","1111016900","혜화동","304","1111016900_01","혜화안심01","1","","","","","","메일유업","20221117","1111016900_01_P13_304.jpeg"
"POINT(127.0011349 37.5877205)","1111016900_01_P14","1111000000","서울특별시 종로구","1111016900","혜화동","307","1111016900_01","혜화안심01","1","","혜화파출소","02-762-0811","","","메일유업","20221117","1111016900_01_P14_307.jpeg"
